,playerId,Player,positionCode,gamesPlayed,goals,assists,ot_goals,time_on_ice_per_game,teamAbbrevs,goals_up_by_one,TOI_Down_One,goals_down_by_one,TOI_Tied,goals_when_tied,TOI,total_goals,shots,ixG,iFF,iSCF,iHDCF,rebounds_created,iCF,SH%,off_zone_starts,on_the_fly_starts,clutch_goals,TOI_Clutch,ot_goals_per_60,assists_per_60,goals_up_by_one_per_60,goals_down_by_one_per_60,goals_when_tied_per_60,shots_per_60,ixG_per_60,iFF_per_60,iSCF_per_60,iHDCF_per_60,iCF_per_60,rebounds_created_per_60,off_zone_starts_per_60,on_the_fly_starts_per_60,clutch_score,clutch_score_rank,predicted_clutch_score,actual_clutch_score_adjusted,predicted_clutch_score_adjusted,lower_bound_log,upper_bound_log,Significantly_Clutch,shap_iSCF_per_60,shap_assists_per_60,shap_rebounds_created_per_60,shap_SH%,season
165,8477960,Adrian Kempe,R,144,60,68,5,1155.0731,LAK,7.0,485.98333333333,9.0,1116.5666666667,27.0,2787.5166666667,60.0,417.0,46.62,646.0,402.0,141.0,79.0,914.0,14.39,318.0,1448.0,36.0,1602.55000000003,0.1872016473744934,2.5459424042931103,0.26208230632429075,0.3369629652740881,1.0108888958222644,15.61261739103275,1.7454681601197763,24.186452840784547,15.051012448909267,5.279086455960714,34.220461140057395,2.9577860285169955,11.90602477301778,54.21359707965328,13.48,26.0,2.424114220104528,26.73,24.24,18.56,27.69,Inside Range,-0.00972947098487778,0.03913587800586121,0.06926744561456699,0.09632617993946957,2024-2026
123,8477416,Oliver Bjorkstrand,R,141,32,43,0,877.91705,TBL,3.0,384.46666666667,7.0,646.91666666667,11.0,2086.7,32.0,265.0,32.07,396.0,299.0,115.0,57.0,533.0,12.08,275.0,1177.0,18.0,1031.38333333334,0.0,2.5014947562335212,0.17452288996978058,0.4072200765961546,0.6399172632225287,15.416188613997281,1.865649693776954,23.037021476011034,17.39411470032146,6.690044115508254,31.006900117964346,3.3159349094258306,15.997931580563217,68.47114716481057,10.47,100.0,2.41811706435265,24.4,24.18,19.45,28.22,Inside Range,0.0872651559635399,0.03383374140311257,0.09128951946061925,-0.023385540004126737,2024-2026
289,8480459,Pius Suter,C,127,34,32,0,1015.07095,STL,6.0,346.5,5.0,764.38333333333,10.0,2177.5166666667,34.0,212.0,32.05,308.0,266.0,141.0,53.0,400.0,16.04,213.0,1397.0,15.0,1110.88333333333,0.0,1.7283543126340952,0.3240664336188928,0.27005536134907737,0.5401107226981547,11.450347321200882,1.7310548662475858,16.635410259103168,14.366945223770916,7.615561190043982,21.604428907926188,2.8625868303002204,11.504358393470696,75.45346796093222,8.1,183.0,2.417684026986219,22.08,24.18,18.18,27.49,Inside Range,-0.02715827437545071,-0.055716037632428245,0.07389237076283794,0.1975517807017514,2024-2026
269,8480018,Nick Suzuki,C,145,51,112,6,1224.10275,MTL,5.0,560.55,11.0,1130.8833333333,18.0,2951.7666666667,51.0,311.0,44.28,496.0,371.0,137.0,62.0,646.0,16.4,358.0,1312.0,29.0,1691.4333333333,0.21283723863390444,3.972961787832883,0.1773643655282537,0.39020160416215816,0.6385117159017133,11.03206353585738,1.5707388211182147,17.594545060402766,13.160435922196424,4.859783615474151,22.915476026250378,2.1993181325503457,12.699288571822965,46.54040951461377,10.29,103.0,2.415823160759418,24.24,24.16,20.67,29.7,Inside Range,-0.08166247878911478,0.15866652032077305,-0.016142211600387923,0.12584714329863744,2024-2026
209,8478498,Jake DeBrusk,L,145,42,38,2,1012.8248,VAN,5.0,514.45,7.0,860.7,18.0,2443.2666666667,42.0,336.0,54.58,491.0,403.0,264.0,80.0,596.0,12.5,350.0,1404.0,25.0,1375.15,0.08726320765007453,1.6580009453514162,0.21815801912518634,0.30542122677526085,0.7853688688506708,14.66021888521252,2.3814129367705337,21.4231174780933,17.58353634149002,11.518743409809838,26.00443587972221,3.4905283060029815,15.271061338763042,61.258771770352325,10.91,83.0,2.415620104898689,24.77,24.16,18.12,26.71,Inside Range,0.10124144059965834,-0.06745964117413428,0.1158190152704971,0.036905102673162826,2024-2026
453,8484166,Adam Fantilli,C,145,49,49,2,1087.2876999999999,CBJ,12.0,461.08333333333,5.0,933.8,16.0,2634.0333333333,49.0,360.0,41.35,536.0,371.0,145.0,71.0,754.0,13.61,416.0,1415.0,21.0,1394.88333333333,0.0860287001302381,2.1077031531908332,0.5161722007814286,0.21507175032559525,0.6882296010419048,15.485166023442856,1.7786433751926727,23.055691634903813,15.958323874159166,6.237080759442262,32.432819949099766,3.0540188546234526,17.893969627089525,60.86530534214346,9.03,148.0,2.4133459788162153,23.06,24.13,18.59,27.29,Inside Range,0.04127771034311256,-0.00796002740870283,0.07895105866388341,0.07196304968841571,2024-2026
461,8484762,Beckett Sennecke,R,63,20,31,1,1057.492,ANA,4.0,253.9,8.0,404.16666666667,3.0,1110.3666666667,20.0,148.0,21.23,234.0,170.0,91.0,32.0,290.0,13.51,147.0,666.0,11.0,658.06666666667,0.09117617262688638,2.8264613514334775,0.3647046905075455,0.729409381015091,0.2735285178806591,13.494073548779182,1.9356701448687978,21.335224394691412,15.499949346570684,8.29703170904666,26.44109006179705,2.917637524060364,13.402897376152298,60.72333096950633,10.03,109.0,2.412237985435196,24.01,24.12,18.42,27.16,Inside Range,0.014870346267937595,0.06664033338023184,0.0599651972516862,0.041647921005833366,2024-2026
100,8476887,Filip Forsberg,L,145,59,70,0,1124.0495999999998,NSH,9.0,595.93333333333,11.0,954.18333333333,17.0,2714.4333333333,59.0,481.0,53.99,743.0,442.0,163.0,77.0,1026.0,12.27,394.0,1615.0,28.0,1550.11666666666,0.0,2.7094734804907272,0.34836087606309357,0.4257744040771143,0.6580149881191767,18.617953487372,2.089778188738491,28.75912565720872,17.108389691098594,6.309202533142694,39.713139871192666,2.9804208285398004,15.250465018762096,62.51142387132178,10.84,85.0,2.411127693699054,24.71,24.11,18.68,28.16,Inside Range,0.09421423374476762,0.055583606428582344,0.06064557378768243,-0.02842990779148319,2024-2026
202,8478458,Jack Roslovic,C,132,38,27,2,892.85145,EDM,6.0,374.4,4.0,621.56666666667,16.0,1932.4833333333,38.0,244.0,29.65,382.0,261.0,111.0,35.0,481.0,15.57,303.0,1184.0,20.0,995.96666666667,0.12048596003882285,1.6265604605241086,0.36145788011646857,0.2409719200776457,0.9638876803105828,14.699287124736388,1.7862043575755486,23.012818367415164,15.723417785066383,6.686970782154668,28.976873389336895,2.1085043006794,18.253622945881663,71.32768834298314,12.05,52.0,2.4098921318474247,25.69,24.1,16.48,26.13,Inside Range,0.12008486989670325,-0.06684208342789541,-0.014384418872980587,0.1419195767220902,2024-2026
242,8479400,Pierre-Luc Dubois,C,95,24,48,1,1022.1477,WSH,7.0,314.46666666667,1.0,558.25,9.0,1636.6166666667,24.0,167.0,27.23,263.0,218.0,115.0,32.0,333.0,14.37,222.0,938.0,10.0,872.71666666667,0.06875083551362578,3.300040104654037,0.4812558485953804,0.06875083551362578,0.618757519622632,11.481389530775504,1.8720852510360297,18.081469740083577,14.987682141970417,7.906346084066963,22.89402822603738,2.200026736436025,15.26268548402492,64.48828371178098,6.88,237.0,2.4046708066165228,20.64,24.05,18.18,27.26,Inside Range,0.04198486801545476,0.11002790284289632,-0.019897301729678074,0.04344114995834214,2024-2026
10,8473533,Jordan Staal,C,135,29,35,0,945.06165,CAR,7.0,361.93333333333,7.0,681.41666666667,12.0,2139.8,29.0,189.0,30.87,296.0,266.0,141.0,37.0,370.0,15.34,346.0,1070.0,19.0,1043.35,0.0,2.012747400201275,0.402549480040255,0.402549480040255,0.6900848229261514,10.868835961086884,1.7752432069775246,17.022092298845067,15.29688024152969,8.10849666938228,21.277615373556333,2.1277615373556333,19.89744572770403,61.53256337758183,10.93,81.0,2.4044173125128285,24.79,24.04,18.94,28.25,Inside Range,0.08694996308901426,-0.015373570181419854,-0.016195477416914128,0.11992220949264076,2024-2026
365,8482089,Jake Neighbours,L,132,36,36,1,943.93145,STL,8.0,367.88333333333,8.0,707.26666666667,10.0,2095.8166666667,36.0,187.0,27.4,262.0,236.0,141.0,30.0,320.0,19.25,314.0,1372.0,18.0,1075.1499999999999,0.05580616658140725,2.009021996930661,0.446449332651258,0.446449332651258,0.5580616658140726,10.435753150723155,1.5290889643305587,14.6212156443287,13.170255313212111,7.868669487978423,17.857973306050322,1.6741849974422176,17.523136306561877,76.56606054969076,10.05,108.0,2.4018213094567997,24.02,24.02,17.5,26.18,Inside Range,0.008191433974158169,-0.013309913727748701,-0.07220627962358767,0.25003188130446785,2024-2026
338,8481582,Nicholas Robertson,L,130,28,21,0,735.2927999999999,TOR,4.0,277.53333333333,5.0,501.63333333333,6.0,1591.1166666667,28.0,214.0,22.09,325.0,225.0,90.0,35.0,415.0,13.08,205.0,1262.0,11.0,779.1666666666599,0.0,1.6171122994652547,0.3080213903743342,0.38502673796791775,0.4620320855615013,16.47914438502688,1.7010481283422607,25.026737967914656,17.3262032085563,6.93048128342252,31.957219251337175,2.6951871657754243,15.78609625668463,97.18074866310243,8.47,166.0,2.3973711228087273,22.48,23.97,17.01,26.63,Inside Range,0.14780861860160727,-0.06991541786306077,0.04608565689118721,0.04427807764948877,2024-2026
415,8482775,Oliver Kapanen,C,81,20,15,0,771.7896,MTL,3.0,194.78333333333,7.0,395.43333333333,6.0,1130.75,20.0,127.0,16.67,186.0,150.0,73.0,21.0,225.0,15.75,155.0,721.0,13.0,590.21666666666,0.0,1.5248637506000793,0.3049727501200159,0.7116030836133704,0.6099455002400318,12.910513088414005,1.694631914833555,18.908310507440984,15.248637506000795,7.421003586253719,22.87295625900119,2.134809250840111,15.756925422867488,73.29511761217715,13.22,29.0,2.39312807203322,26.55,23.93,18.95,27.68,Inside Range,0.09495068121884853,-0.08115014103801693,-0.008193649527506564,0.15840699385038837,2024-2026
56,8475791,Taylor Hall,L,140,32,45,0,881.83325,CAR,5.0,374.58333333333,5.0,642.85,9.0,2078.3666666667,32.0,251.0,30.66,372.0,276.0,119.0,46.0,523.0,12.75,303.0,1346.0,14.0,1017.43333333333,0.0,2.653736526553755,0.29485961406152833,0.29485961406152833,0.530747305310751,14.801952625888722,1.8080791534252918,21.93755528617771,16.276250696196364,7.017658814664374,30.842315630835863,2.712708449366061,17.86849261212862,79.37620810536343,8.26,179.0,2.389941853175279,22.26,23.9,18.82,27.74,Inside Range,0.07596117807815467,0.05233259614557301,0.03760885948962428,-0.005074968067578456,2024-2026
157,8477942,Kevin Fiala,L,137,53,47,0,1129.05025,LAK,17.0,477.08333333333,8.0,1013.2833333333,16.0,2570.4,53.0,391.0,44.62,623.0,406.0,137.0,62.0,837.0,13.55,271.0,1476.0,24.0,1490.36666666663,0.0,1.8921518194628186,0.6843953389546366,0.32206839480218186,0.6441367896043637,15.741092795956641,1.7963364720091695,25.081076245219915,16.34497103621073,5.515421260987365,33.69640580617828,2.49603005971691,10.910066873923912,59.42161884100256,9.66,126.0,2.3872362897591177,23.66,23.87,17.67,26.71,Inside Range,0.11134912995262403,-0.031058319991256134,0.02400708256226386,0.053824209705980564,2024-2026
386,8482175,JJ Peterka,R,141,48,59,0,1035.9882,UTA,9.0,481.66666666667,10.0,798.06666666667,10.0,2446.5,48.0,301.0,33.17,466.0,296.0,110.0,43.0,647.0,15.95,406.0,1487.0,20.0,1279.73333333334,0.0,2.7662012919358054,0.42196290893936017,0.46884767659928916,0.46884767659928916,14.112315065638601,1.555167743279842,21.848301729526874,13.877891227338957,5.157324442592181,30.334444675974005,2.0160450093769433,19.035215669931137,69.71764951031429,9.38,132.0,2.3868380490243952,23.4,23.87,16.74,26.42,Inside Range,0.0025151865031123877,0.06604415088256754,-0.03450388651635694,0.12366841062556344,2024-2026
459,8484387,Matvei Michkov,R,142,42,54,4,944.1038,PHI,6.0,480.06666666667,5.0,727.7,15.0,2251.45,42.0,324.0,41.37,462.0,307.0,144.0,66.0,597.0,12.96,382.0,1482.0,20.0,1207.76666666667,0.19871387961250736,2.68263737476885,0.298070819418761,0.24839234951563421,0.7451770485469027,16.0958242486131,2.055198299892357,22.951453095244602,15.251290260259939,7.153699666050266,29.65804653216673,3.2787790136063717,18.977175502994456,73.62349239643399,9.94,115.0,2.386802577203312,23.92,23.87,19.56,29.06,Inside Range,-0.02035955522517008,0.05352196021173583,0.09288680482624995,0.03163917986098974,2024-2026
207,8478483,Mitch Marner,R,144,45,122,3,1236.0661,VGK,10.0,685.96666666667,9.0,918.76666666667,11.0,2979.4166666667,45.0,295.0,32.95,447.0,348.0,111.0,61.0,664.0,15.25,377.0,1443.0,20.0,1604.73333333334,0.11216816916621614,4.56150554609279,0.3738938972207205,0.33650450749864846,0.41128328694279254,11.029869968011255,1.2319803913422742,16.713057205766205,13.011507623281075,4.150222259149997,24.82655477545584,2.280752773046395,14.095799925221161,53.95288936894997,7.48,209.0,2.3844447909968673,21.38,23.84,16.08,25.14,Inside Range,-0.10379907575173211,0.19719507219950327,-0.011285578582228117,0.07322018560181509,2024-2026
337,8481580,Connor McMichael,L,143,36,54,1,1012.73965,WSH,6.0,446.43333333333,4.0,841.68333333333,14.0,2412.2166666667,36.0,293.0,43.48,418.0,344.0,196.0,73.0,519.0,12.29,329.0,1388.0,18.0,1288.11666666666,0.04657963176213359,2.5153001151552137,0.27947779057280153,0.18631852704853435,0.6521148446698702,13.647832106305142,2.0252823890175686,19.47028607657184,16.023393326173956,9.129607825378184,24.17482888454733,3.400313118635752,15.32469884974195,64.65252888584142,8.38,171.0,2.3826536740948008,22.39,23.83,16.51,25.83,Inside Range,0.01638589825219411,0.03696573643245149,0.10120864904861254,-0.0010207971679631056,2024-2026
189,8478414,Timo Meier,R,139,43,41,0,1093.20275,NJD,4.0,437.16666666667,8.0,979.61666666667,15.0,2525.0166666667,43.0,450.0,59.63,725.0,511.0,224.0,99.0,955.0,9.56,314.0,1472.0,23.0,1416.78333333334,0.0,1.7363275965508642,0.16939781429764528,0.33879562859529055,0.6352418036161699,19.057254108485097,2.525297916642147,30.703353841448212,21.640570776524186,9.486277600668137,40.44372816356282,4.192595903866721,13.297728422365156,62.33839566153347,9.74,122.0,2.3801244934079766,23.74,23.8,18.62,27.65,Inside Range,0.2250907443681437,-0.056389561090690016,0.14985712257768652,-0.16754799997666447,2024-2026
178,8478109,Victor Olofsson,L,118,26,28,0,836.4527,"COL,CGY",8.0,260.48333333333,8.0,526.78333333333,6.0,1641.6833333333,26.0,221.0,21.46,308.0,237.0,79.0,35.0,413.0,11.76,222.0,1107.0,14.0,787.2666666666601,0.0,2.1339656194428156,0.6097044626979474,0.6097044626979474,0.45727834702346054,16.843085782030794,1.6355322211872438,23.473621813870974,18.06249470742669,6.0208315691422305,31.47599288678153,2.66745702430352,16.91929883986804,84.36785502582848,10.67,92.0,2.377496865874619,24.57,23.77,19.26,27.95,Inside Range,0.1743620339136558,-0.0017399457443074973,0.03204379101410515,-0.05628320083833804,2024-2026
421,8483431,Logan Cooley,C,111,42,51,1,1057.8122,UTA,11.0,333.36666666667,2.0,772.78333333333,19.0,1965.9666666667,42.0,229.0,29.0,332.0,228.0,116.0,34.0,412.0,18.34,281.0,1187.0,21.0,1106.15,0.05424219138453193,2.7663517606111285,0.5966641052298512,0.10848438276906386,1.0306016363061066,12.421461827057811,1.573023550151426,18.0084075396646,12.36721963567328,6.292094200605704,22.34778285042716,1.8442345070740855,15.242055779053473,64.3854811734394,11.39,65.0,2.3753735320382408,25.17,23.75,17.01,25.74,Inside Range,-0.08253068637022565,0.0676014957284019,-0.05156701598668928,0.2127555511372432,2024-2026
160,8477951,Nick Schmaltz,C,146,44,78,0,1148.81035,UTA,12.0,532.75,8.0,1048.95,12.0,2785.3833333333,44.0,333.0,43.99,483.0,417.0,186.0,57.0,669.0,13.21,458.0,1523.0,20.0,1581.7,0.0,2.9588417525447306,0.45520642346842005,0.30347094897894666,0.45520642346842005,12.631978251248656,1.6687108806979831,18.322058544603905,15.818423215527597,7.055699563760511,25.377758108364418,2.1622305114749953,17.373711829044698,57.773281911866974,7.59,207.0,2.373478894416735,21.51,23.73,19.73,28.81,Inside Range,0.09840661317951932,0.08339889151239949,-0.02662610843209845,-0.01081468937259189,2024-2026
136,8477493,Aleksander Barkov,C,67,20,51,2,1215.4776,FLA,5.0,235.73333333333,2.0,466.75,6.0,1357.2833333333,20.0,149.0,19.44,235.0,166.0,77.0,29.0,302.0,13.42,197.0,661.0,8.0,702.4833333333299,0.1708225580678079,4.3559752307291015,0.4270563951695197,0.1708225580678079,0.5124676742034237,12.726280576051687,1.660395264419093,20.071650572967428,14.178272319628055,6.576668485610604,25.794206268238995,2.4769270919832143,16.82602196967908,56.456855441410504,6.83,243.0,2.3709585260018926,20.58,23.71,18.24,27.17,Inside Range,-0.041748109111278325,0.18464187152466544,0.006058119295834941,-0.0071075432368366,2024-2026
434,8483524,Shane Wright,C,141,30,37,1,841.30235,SEA,2.0,404.88333333333,6.0,679.63333333333,10.0,1977.85,30.0,180.0,29.51,297.0,245.0,137.0,37.0,367.0,16.67,311.0,1336.0,16.0,1084.51666666666,0.055324184352476866,2.0469948210416438,0.11064836870495373,0.33194510611486117,0.5532418435247686,9.958353183445835,1.6326166802415922,16.43128275268563,13.554425166356832,7.57941325628933,20.303975657359008,2.0469948210416438,17.205821333620307,73.91311029490909,8.85,154.0,2.3699521976892814,22.87,23.7,17.97,26.86,Inside Range,-0.008607875815631383,-0.008919257450554774,-0.021059924133899455,0.179425067559859,2024-2026
