Player,Season,Team,Position,GP,TOI,TM #,TOI/GP,TOI%,RAPM_CA/60,RAPM_xGA/60,GAR/60,xGAR/60
Kirby Dach,24-25,MTL,C,57,730.88,27,14.79,29.74,-1.87,-0.065,0.01,0.08
Kirby Dach,25-26,MTL,C,15,183.9,20,14.19,28.33,-0.66,0,0.16,0.11
Kirill Kaprizov,21-22,MIN,L,81,1202.37,32,14.95,30.61,1.11,0.041,0.42,0.5
Kirill Kaprizov,22-23,MIN,L,67,1106.63,30,15.29,30.68,-0.05,-0.002,0.14,0.12
Kirill Kaprizov,23-24,MIN,L,75,1253.28,31,15.18,31.07,0.42,0.052,0.34,0.25
Kirill Kaprizov,24-25,MIN,L,41,751.03,30,16.4,32.12,-0.37,0.027,0.2,0.24
Kirill Kaprizov,25-26,MIN,L,40,694.83,28,15.35,30.49,-0.03,0.047,0.29,0.26
Kirill Marchenko,22-23,CBJ,R,59,775.12,35,15.14,30.03,-2.1,-0.1,0.02,-0.02
Kirill Marchenko,23-24,CBJ,R,78,1036.58,32,14.77,29.36,-0.01,-0.048,0.1,0.17
Kirill Marchenko,24-25,CBJ,R,79,1223.05,30,16.13,31.28,0.72,0.006,0.3,0.26
Kirill Marchenko,25-26,CBJ,R,34,517.93,24,15.93,31.14,1.09,0.022,0.23,0.3
Klim Kostin,21-22,STL,C,40,357.33,27,13.82,27.59,-0.68,-0.02,0.14,0.15
Klim Kostin,22-23,EDM,C,57,564.18,28,13.74,27.9,1.17,0.092,0.21,0.23
Klim Kostin,23-24,DET,C,33,282.45,21,13.38,27.07,-1.88,-0.045,0.13,0.09
Klim Kostin,23-24,S.J,C,19,247.32,24,15.19,30.14,-3.18,-0.174,-0.09,-0.15
Klim Kostin,24-25,S.J,C,35,337.67,35,14.44,29.04,-2.12,-0.1,-0.03,-0.02
Kole Lind,21-22,SEA,R,23,268.08,32,14.38,28.62,1.06,-0.005,0.19,0.28
Kristian Reichel,21-22,WPG,C,13,134.03,26,14.28,28.49,-0.18,0.021,-0.04,0.07
Kristian Vesalainen,21-22,WPG,L,53,451.68,29,13.51,26.94,-0.91,-0.013,-0.04,0.01
Kurtis MacDermid,23-24,N.J,L,16,69.17,24,12.84,26.02,-1.4,-0.042,0.08,0.11
Kurtis MacDermid,24-25,N.J,L,23,130.78,28,13.72,27.21,0.24,0.014,0.04,0.08
Kurtis MacDermid,25-26,OTT,L,16,63.65,21,13.27,26.68,-0.43,0.01,0.01,0.08
Kyle Clifford,21-22,TOR,L,23,193.37,31,13.59,26.89,0.49,0.03,0.2,0.2
Kyle Connor,21-22,WPG,L,79,1289.95,33,15.4,30.72,0.61,0.03,0.09,0.06
Kyle Connor,22-23,WPG,L,82,1293.72,29,15.16,31.01,0.91,0.061,0.23,0.29
Kyle Connor,23-24,WPG,L,65,1024.75,25,15.68,31.57,0.49,0,0.26,0.18
Kyle Connor,24-25,WPG,L,82,1322.55,28,16.43,32.14,-0.24,0.072,0.34,0.29
Kyle Connor,25-26,WPG,L,37,587.73,24,16.38,33.23,-0.88,-0.042,0.32,0.31
Kyle Criscuolo,21-22,DET,C,6,57.08,26,13.45,26.7,-1.57,-0.081,0.07,-0.1
Kyle MacLean,23-24,NYI,C,32,318.07,24,13.64,26.78,-2.06,0.01,0.16,0.12
Kyle MacLean,24-25,NYI,C,81,775.98,30,13.9,27.2,0,0,0.03,0.12
Kyle MacLean,25-26,NYI,C,25,256.9,23,13.4,26.84,-0.64,-0.026,0.1,0.01
Kyle Okposo,21-22,BUF,R,74,980.92,30,14.67,28.84,-0.74,-0.063,0.04,0.05
Kyle Okposo,22-23,BUF,R,75,934.25,26,14.6,29.16,0.8,-0.013,0.09,0.11
Kyle Okposo,23-24,BUF,R,61,687.3,29,14.11,28.29,0.28,-0.053,0.09,0.06
Kyle Okposo,23-24,FLA,R,6,60.67,21,13.35,27.77,1.94,0.011,-0.02,0.08
Kyle Palmieri,21-22,NYI,C/R,69,927.48,29,15.21,29.88,-0.95,-0.023,0.08,0.14
Kyle Palmieri,22-23,NYI,C,55,766.67,30,15.05,29.95,0.44,0.069,0.24,0.28
Kyle Palmieri,23-24,NYI,C,82,1094.27,25,15.45,30.33,0.14,0.027,0.19,0.2
Kyle Palmieri,24-25,NYI,C,82,1179.7,29,15.73,30.78,1,0.036,0.2,0.2
Kyle Palmieri,25-26,NYI,C,25,319.58,23,15.1,30.37,0.35,-0.024,0.13,0.11
Kyle Turris,21-22,EDM,C,23,186.4,26,13.06,26.06,0.76,-0.011,0.1,0.15
Landon Slaggert,23-24,CHI,L,16,168,22,14.49,29.04,-1.63,-0.106,0.03,0.02
Landon Slaggert,24-25,CHI,L,33,379.15,29,15.24,29.65,-1.96,-0.078,0.04,0.09
Landon Slaggert,25-26,CHI,L,12,115.35,21,13.53,27.2,0.09,-0.061,0.16,0.05
Lane Pederson,21-22,S.J,C,29,282.77,31,13.73,27.07,-2.34,-0.077,-0.06,-0.04
Lane Pederson,22-23,CBJ,C,16,166.12,23,14.01,27.7,-2.51,-0.122,-0.02,-0.04
Lane Pederson,22-23,VAN,C,11,131.2,22,14.61,29.25,0.17,0.002,0.26,0.26
Lars Eller,21-22,WSH,C,72,929.25,31,14.43,28.76,1.06,0.058,0.24,0.27
Lars Eller,22-23,COL,C,24,292.93,23,14.21,28.56,0.47,-0.02,0.16,0.18
Lars Eller,22-23,WSH,C,60,779.77,29,14.52,29.02,1.38,0.07,0.21,0.26
Lars Eller,23-24,PIT,C,82,990.5,33,14.08,28.5,0.8,0.035,0.15,0.15
Lars Eller,24-25,PIT,C,17,220,21,14.35,28.31,0.39,0.008,0.07,0.03
Lars Eller,24-25,WSH,C,63,718.95,24,14.23,28.17,1.3,0.08,0.16,0.27
Lars Eller,25-26,OTT,C,28,295.38,24,13.91,28,0.5,0.056,0.16,0.16
Laurent Dauphin,21-22,MTL,C,38,450.05,33,14.19,28.58,-1.06,-0.067,0.05,0.05
Laurent Dauphin,22-23,ARI,C,21,216.18,29,12.57,25.7,-2.38,-0.119,-0.24,-0.15
Lawson Crouse,21-22,ARI,L,65,862.32,33,15.11,29.98,-2.36,-0.129,0.08,0.04
Lawson Crouse,22-23,ARI,L,77,1030.42,33,13.91,28.48,-1.74,-0.047,0.08,0.07
Lawson Crouse,23-24,ARI,L,81,1027.07,34,14.58,29.56,0.13,0.029,0.21,0.24
Lawson Crouse,24-25,UTA,L,81,954.3,26,14.31,28.44,1.77,0.067,0.13,0.18
Lawson Crouse,25-26,UTA,L,40,473.53,25,14.3,28.99,1.37,0.051,0.23,0.1
Leo Carlsson,23-24,ANA,C,55,832.37,32,15.12,31.24,-0.18,-0.03,0.16,0.13
Leo Carlsson,24-25,ANA,C,76,984.25,27,14.73,29.44,0.21,-0.039,0.2,0.17
Leo Carlsson,25-26,ANA,C,38,539.95,21,14.77,29.9,2,0.061,0.22,0.31
Leon Draisaitl,21-22,EDM,C,80,1345.52,32,15.54,31,1.42,0.048,0.19,0.18
Leon Draisaitl,22-23,EDM,C,80,1317.28,28,15.25,30.97,1.83,0.143,0.26,0.3
Leon Draisaitl,23-24,EDM,C,81,1306.62,25,15.54,31.05,3.46,0.201,0.36,0.4
Leon Draisaitl,24-25,EDM,C,71,1223.8,27,15.64,30.78,3.55,0.16,0.24,0.31
Leon Draisaitl,25-26,EDM,C,40,682.03,28,15.86,31.1,1.18,0.001,0.15,0.24
Liam Foudy,22-23,CBJ,C,62,673,39,14.15,27.98,-2.36,-0.107,-0.05,-0.1
Liam Foudy,23-24,NSH,C,12,119.8,23,13.93,28.56,0.07,0.051,0.12,0.16
Liam O'Brien,21-22,ARI,C,39,362.83,35,14.26,28.29,-2.86,-0.155,-0.13,-0.1
Liam O'Brien,22-23,ARI,C,56,579.83,32,13.21,27.05,-2.59,-0.12,-0.14,-0.06
Liam O'Brien,23-24,ARI,C,75,705.77,33,13.61,27.57,-0.73,-0.018,0.14,0.12
Liam O'Brien,24-25,UTA,C,28,259.9,24,14.19,28.17,0.86,0.029,0.13,0.14
Liam O'Brien,25-26,UTA,C,21,185.18,23,13.53,27.43,0.03,-0.01,0.16,0.01
Liam Ohgren,23-24,MIN,L,4,53,20,14.3,29.07,-0.44,0.005,0.16,0.13
Liam Ohgren,24-25,MIN,L,24,237.88,28,14.65,28.68,-1.32,-0.031,0.12,0.11
Liam Ohgren,25-26,MIN,L,18,168.28,24,13.76,27.28,-1.37,-0.019,0.04,-0.03
Liam Ohgren,25-26,VAN,L,7,77.23,19,13.66,27.84,-0.82,-0.098,-0.05,0.11
Lias Andersson,21-22,L.A,C,20,195.55,29,13.99,27.91,0.53,0.013,0.12,0.05
Linus Karlsson,24-25,VAN,C,23,228.92,31,14.45,28.59,0.63,0.007,0.04,0.1
Linus Karlsson,25-26,VAN,C,35,305.82,28,13.73,28.06,-1.12,-0.089,-0.05,-0.01
Logan Brown,21-22,STL,C,39,378.27,27,14.02,27.92,-0.96,-0.004,0.18,0.24
Logan Brown,22-23,STL,C,30,284.25,30,13.97,27.77,-1.16,-0.057,0.17,0.11
Logan Cooley,23-24,ARI,C,82,1080.07,34,14.17,28.7,-0.1,0.003,0.18,0.16
Logan Cooley,24-25,UTA,C,75,1041.38,26,15.05,29.93,1.19,0.038,0.16,0.18
Logan Cooley,25-26,UTA,C,29,403.18,24,14.88,30.15,1.44,0.049,0.36,0.36
Logan Couture,21-22,S.J,C,77,1070.45,34,15.46,30.51,-0.99,-0.003,0.14,0.12
Logan Couture,22-23,S.J,C,82,1075.75,39,15.04,30.05,0.3,-0.013,0.15,0.13
Logan Couture,23-24,S.J,C,6,80.92,21,15.04,29.83,-2.68,-0.129,-0.08,-0.03
Logan O'Connor,21-22,COL,R,81,938.77,34,14.12,28.72,1.21,0.025,0.21,0.23
Logan O'Connor,22-23,COL,R,82,995.98,35,13.95,28.14,0.82,0.008,0.16,0.2
Logan O'Connor,23-24,COL,R,57,710.3,28,13.79,28.16,1.3,0.014,0.15,0.11
Logan O'Connor,24-25,COL,R,80,948.93,41,13.84,27.66,1.37,0.029,0.15,0.16
Logan Shaw,21-22,OTT,R,17,136.58,30,14.13,28.51,-1.08,-0.03,0.11,0.03
Logan Stankoven,23-24,DAL,C,24,317.95,22,14.88,29.66,2.67,0.185,0.36,0.45
Logan Stankoven,24-25,CAR,C,19,244.4,26,14.31,29.04,4.73,0.112,0.17,0.29
Logan Stankoven,24-25,DAL,C,59,764.3,27,14.61,29.55,1.18,0.058,0.25,0.32
Logan Stankoven,25-26,CAR,C,38,519.1,23,14.98,29.61,3.6,0.092,0.24,0.19
Loui Eriksson,21-22,ARI,L,73,825.27,37,14.29,28.34,-2.49,-0.136,-0.1,-0.04
Luca Del Bel Belluz,24-25,CBJ,C,15,190.63,21,14.71,28.5,-0.5,0.005,0.2,0.24
Luca Del Bel Belluz,25-26,CBJ,C,13,112.58,22,14.39,28.09,0.53,0.001,0.15,0.2
Lucas Condotta,24-25,MTL,L,7,55.45,18,13.58,27.32,-0.12,-0.016,0.06,0.13
Lucas Condotta,24-25,MTL,L,7,55.45,18,13.58,27.32,-0.12,-0.016,0.06,0.13
Lucas Raymond,21-22,DET,L,82,1215.12,32,15.67,31.05,-0.13,0.007,0.17,0.24
Lucas Raymond,22-23,DET,L,74,1022.5,29,14.71,29.76,-0.19,-0.002,0.14,0.12
Lucas Raymond,23-24,DET,L,82,1177.45,23,14.9,30.09,0.11,-0.038,0.23,0.2
Lucas Raymond,24-25,DET,L,82,1161.05,25,15.74,30.73,1.4,0.034,0.19,0.17
Lucas Raymond,25-26,DET,L,38,555.57,23,15.99,31.65,0.68,0.038,0.23,0.19
Lukas Reichel,21-22,CHI,L,11,127.15,27,15.21,30.12,-1.32,-0.058,0.17,0.14
Lukas Reichel,22-23,CHI,L,23,310.85,36,14.81,29.54,-2.35,-0.089,0.02,-0.02
Lukas Reichel,23-24,CHI,L,65,790.58,34,14.4,28.98,-2.78,-0.153,-0.16,-0.17
Lukas Reichel,24-25,CHI,L,70,737.68,32,14.35,28.08,-1.63,-0.103,-0.02,-0.01
Lukas Reichel,25-26,VAN,L,14,175.25,21,14.48,29.62,-1.05,-0.09,0.06,-0.03
Lukas Rousek,23-24,BUF,R,15,156.8,27,14.17,28.46,-0.47,-0.091,0.07,0.01
Lukas Sedlak,22-23,PHI,C,27,286.03,25,13.82,27.58,-1.49,-0.065,0.01,-0.01
Luke Evangelista,22-23,NSH,R,24,310,27,13.79,28.02,-1.24,-0.096,0.04,0.06
Luke Evangelista,23-24,NSH,R,80,923.13,29,14.04,28.73,1.55,0.089,0.26,0.27
Luke Evangelista,24-25,NSH,R,68,838.62,36,14.25,28.63,0.81,0.023,0.07,0.21
Luke Evangelista,25-26,NSH,R,37,497.77,23,14.62,29.97,0.6,-0.004,0.11,0.15
Luke Glendening,21-22,DAL,C,82,941.47,28,14.56,28.92,0.15,0.015,0.03,0.08
Luke Glendening,22-23,DAL,C,70,664.78,26,13.82,27.84,1.65,0.032,0.09,0.19
Luke Glendening,23-24,T.B,C,81,747.67,31,13.34,26.81,0.77,-0.009,0.05,0.12
Luke Glendening,24-25,T.B,C,77,686.98,27,13.37,26.4,1.09,0.029,0.17,0.15
Luke Glendening,25-26,N.J,C,38,324.33,28,13.92,27.27,-1.06,-0.06,-0.01,0.02
Luke Kunin,21-22,NSH,C,82,963.17,28,14.52,29.74,0.43,0.033,0.29,0.2
Luke Kunin,22-23,S.J,C,31,361.05,23,14.4,28.77,-1.16,0.016,0.17,0.17
Luke Kunin,23-24,S.J,C,77,972.73,35,14.52,28.87,-2.05,-0.12,-0.07,-0.11
Luke Kunin,24-25,CBJ,C,12,123.52,21,14.74,28.57,0.64,0.024,0.2,0.19
Luke Kunin,24-25,S.J,C,63,782.02,31,14.38,28.93,-1.24,-0.113,-0.04,0.01
Luke Kunin,25-26,FLA,C,28,210.18,23,12.45,25.91,0.1,0.011,0.19,0.02
Mackenzie Entwistle,21-22,CHI,R,55,519.98,35,14.1,27.98,-1.38,-0.055,-0.01,0.04
Mackenzie Entwistle,22-23,CHI,R,66,676.43,35,13.97,27.8,-1.76,-0.069,-0.02,-0.01
Mackenzie Entwistle,23-24,CHI,R,67,714.33,34,14,28.14,-2.84,-0.149,-0.14,-0.19
Mackenzie MacEachern,21-22,STL,L,14,109.8,23,13.97,27.78,-1.36,0.007,0.03,0.19
Mackenzie MacEachern,23-24,STL,L,8,62.48,20,13.39,26.87,-3.04,-0.125,-0.14,-0.14
Mackenzie MacEachern,25-26,VAN,L,8,80.77,20,13.63,27.86,-0.72,-0.089,0.03,0
Mackie Samoskevich,23-24,FLA,R,7,79.27,22,14.02,29.19,3.32,0.099,0.22,0.22
Mackie Samoskevich,24-25,FLA,R,72,823.7,29,14.43,28.94,2.08,0.075,0.13,0.16
Mackie Samoskevich,25-26,FLA,R,36,437.5,23,14.13,29.47,0.65,0.04,0.27,0.25
Macklin Celebrini,24-25,S.J,C,70,1092.9,40,14.84,29.8,-0.75,-0.07,0.07,0.08
Macklin Celebrini,25-26,S.J,C,39,618.42,26,14.67,30.13,-1.05,-0.064,0.28,0.25
Marat Khusnutdinov,23-24,MIN,C,16,179.38,22,13.93,28.4,-0.37,-0.007,0.09,0.14
Marat Khusnutdinov,24-25,BOS,C,18,240.62,23,14.4,28.49,-1.29,-0.054,0.11,-0.02
Marat Khusnutdinov,24-25,MIN,C,57,546.13,29,13.67,26.72,-1.59,-0.031,0.04,0
Marat Khusnutdinov,25-26,BOS,C,35,420.68,28,14.5,29.94,-0.1,-0.037,0.18,0.13
Marc Gatcomb,24-25,NYI,C,39,378.1,25,14.16,27.71,-0.07,-0.036,0.01,0.05
Marc Gatcomb,25-26,NYI,C,13,131.4,23,13.22,26.46,-1.22,-0.047,-0.09,-0.16
Marc McLaughlin,21-22,BOS,C,11,111.95,25,13.94,28.22,1.25,0.071,0.19,0.16
Marc McLaughlin,24-25,BOS,C,12,108.72,19,13.78,27.5,-1.2,-0.012,0.21,0.1
Marco Kasper,24-25,DET,C,77,1034.52,25,15.32,29.91,-0.19,-0.02,0.11,0.08
Marco Kasper,25-26,DET,C,39,468.2,23,14.5,28.69,-0.16,0.008,0.13,0.15
Marco Rossi,22-23,MIN,C,19,211.05,32,14.2,28.42,-0.02,0.014,0.14,0.16
Marco Rossi,23-24,MIN,C,82,1173.73,32,14.95,30.6,0.12,0.035,0.29,0.22
Marco Rossi,24-25,MIN,C,82,1257.77,32,16.44,32.16,-0.17,0.018,0.22,0.24
Marco Rossi,25-26,MIN,C,17,249.22,23,15.86,31.44,-0.3,0.047,0.34,0.28
Marco Rossi,25-26,VAN,C,7,107.15,19,14.61,29.76,-1.99,-0.105,-0.03,-0.12
Marcus Foligno,21-22,MIN,L,74,904.3,31,14.47,29.67,1.04,0.083,0.41,0.31
Marcus Foligno,22-23,MIN,L,65,813.47,33,14.82,29.68,-0.26,0.032,0.16,0.08
Marcus Foligno,23-24,MIN,L,55,637.7,31,14.18,29,-0.68,-0.03,0.12,0.08
Marcus Foligno,24-25,MIN,L,77,940.73,31,14.95,29.25,-1.48,-0.033,0.12,0.08
Marcus Foligno,25-26,MIN,L,30,341.95,28,14.54,28.85,-0.92,0.005,0.1,0.04
Marcus Johansson,21-22,SEA,L,51,678.1,28,15.08,30.03,0.34,-0.025,0.16,0.23
Marcus Johansson,21-22,WSH,L,18,225.85,21,14.89,29.7,-0.19,0.007,0.12,0.19
Marcus Johansson,22-23,MIN,L,20,275.07,25,15.14,30.31,0.82,0.059,0.17,0.19
Marcus Johansson,22-23,WSH,L,60,731.33,28,14.67,29.3,0.68,0.029,0.16,0.19
Marcus Johansson,23-24,MIN,L,78,1042.38,31,14.81,30.3,0.19,0.028,0.28,0.2
Marcus Johansson,24-25,MIN,L,72,1049.4,29,15.76,30.85,-0.62,0.003,0.2,0.18
Marcus Johansson,25-26,MIN,L,38,506.08,27,15.73,31.21,0.62,0.061,0.33,0.32
Marian Studenic,21-22,DAL,L/R,16,163.68,22,14.65,29.08,-0.92,-0.019,0.05,0.03
Marian Studenic,21-22,N.J,R,17,180.38,27,14.18,27.9,-0.24,-0.006,0.14,0.12
Mark Jankowski,21-22,BUF,C,19,215.65,28,14.28,28.08,-1.09,-0.072,-0.02,-0.03
Mark Jankowski,22-23,NSH,C,50,514.78,34,13.72,27.96,-0.26,-0.004,-0.01,0
Mark Jankowski,23-24,NSH,C,32,357.12,27,13.95,28.53,1.76,0.101,0.24,0.27
Mark Jankowski,24-25,CAR,L,19,198.88,26,13.76,27.87,3.94,0.083,0.18,0.23
Mark Jankowski,24-25,NSH,C/L,41,425.75,31,14.26,28.66,0.9,0.019,0.04,0.13
Mark Jankowski,25-26,CAR,L,27,266.6,23,13.92,27.52,2.92,0.063,0.29,0.2
Mark Kastelic,21-22,OTT,C,16,142.87,31,13.66,27.51,-0.61,-0.043,-0.07,-0.07
Mark Kastelic,22-23,OTT,C,65,527.58,33,12.69,26.67,0.09,-0.016,0.06,0.03
Mark Kastelic,23-24,OTT,C,63,474.65,29,13.27,26.97,-0.45,-0.035,0.05,0.07
Mark Kastelic,24-25,BOS,C,61,628.77,35,13.78,27.54,-1,-0.01,0.15,0.11
Mark Kastelic,25-26,BOS,C,40,442.5,27,13.84,28.54,-0.17,-0.004,0.15,0.04
Mark Scheifele,21-22,WPG,C,67,1133.48,32,15.73,31.33,0.99,0.015,0.12,0.15
Mark Scheifele,22-23,WPG,C,81,1305.4,29,15.02,30.71,1,0.041,0.2,0.21
Mark Scheifele,23-24,WPG,C,74,1214.38,25,15.5,31.24,0.33,0.024,0.24,0.32
Mark Scheifele,24-25,WPG,C,82,1383.07,28,16.22,31.73,0.52,0.063,0.35,0.35
Mark Scheifele,25-26,WPG,C,37,610.05,24,16.18,32.82,-1.32,-0.052,0.29,0.21
Mark Stone,21-22,VGK,R,37,532.93,32,15.76,30.82,1.32,0.023,0.24,0.31
Mark Stone,22-23,VGK,R,43,633.87,27,15.55,30.04,-0.61,0.053,0.36,0.23
Mark Stone,23-24,VGK,R,56,753.23,30,14.84,29.68,-0.98,-0.009,0.21,0.15
Mark Stone,24-25,VGK,R,66,964.68,26,16.14,30.89,0.79,0.05,0.29,0.3
Mark Stone,25-26,VGK,R,21,290.43,21,15.9,30.35,0.56,0.054,0.28,0.38
Martin Frk,21-22,L.A,R,6,58.73,22,14.38,28.64,2.13,0.038,0.23,0.18
Martin Kaut,22-23,COL,R,27,219.93,32,13.88,28.03,1.38,0.06,0.17,0.18
Martin Kaut,22-23,S.J,R,9,111.57,29,14.82,29.64,-1.11,-0.038,0,0.04
Martin Necas,21-22,CAR,C,78,1012.53,27,14.3,29.18,2.8,0.102,0.23,0.25
Martin Necas,22-23,CAR,C,82,1178.75,24,14.82,30.02,4.75,0.204,0.32,0.4
Martin Necas,23-24,CAR,C,77,1131,26,14.19,28.56,3.81,0.097,0.19,0.23
Martin Necas,24-25,CAR,C,49,668.57,20,14.18,28.82,4.28,0.125,0.21,0.25
Martin Necas,24-25,COL,C,30,485.72,30,16.63,33.11,3.17,0.102,0.26,0.34
Martin Necas,25-26,COL,C,38,603.83,24,16.03,32.81,3.72,0.171,0.7,0.73
Martin Pospisil,23-24,CGY,C,63,769.07,33,15.08,30.29,0.73,0.007,0.28,0.25
Martin Pospisil,24-25,CGY,C,81,1024.52,30,15.41,30.53,0.18,-0.014,0.08,0.12
Mason Appleton,21-22,SEA,C,49,652.37,29,14.73,29.34,0.45,-0.012,0.18,0.23
Mason Appleton,21-22,WPG,C,19,257.47,22,14.56,29.06,-0.45,0.04,-0.01,0.06
Mason Appleton,22-23,WPG,C,41,548.22,27,14.91,30.5,1.1,0.074,0.16,0.26
Mason Appleton,23-24,WPG,C,82,1149.85,27,14.83,29.88,3.19,0.172,0.24,0.31
Mason Appleton,24-25,WPG,C,71,962.57,28,15.08,29.5,1.73,0.088,0.22,0.23
Mason Appleton,25-26,DET,C,30,354.9,23,14.53,28.76,-0.51,-0.003,0.03,0.06
Mason Marchment,21-22,FLA,L,54,703.77,31,14.65,29.62,2.67,0.129,0.4,0.33
Mason Marchment,22-23,DAL,L,68,942.6,27,14.41,29.03,1.13,0.048,0.17,0.21
Mason Marchment,23-24,DAL,L,81,1089.05,24,15.04,29.96,0.37,0.06,0.34,0.28
Mason Marchment,24-25,DAL,L,62,810.68,25,14.98,30.33,0.5,0.07,0.32,0.3
Mason Marchment,25-26,CBJ,L,4,60.77,20,15.78,30.89,0.35,0.007,0.16,0.19
Mason Marchment,25-26,SEA,L,29,431.02,25,15.45,30.38,-1.49,-0.109,-0.02,-0.01
Mason McTavish,21-22,ANA,C,9,96.7,23,15.08,29.67,-0.53,-0.042,0.08,0.11
Mason McTavish,22-23,ANA,C,80,1006.18,32,14.63,29.19,-2.87,-0.182,-0.14,-0.12
Mason McTavish,23-24,ANA,C,64,865.92,29,14.55,30.09,-1.73,-0.074,0.06,0.04
Mason McTavish,24-25,ANA,C,76,1057.65,28,14.68,29.31,-1.69,-0.082,0.1,0.05
Mason McTavish,25-26,ANA,C,39,539.07,21,14.99,30.34,1.42,0.034,0.16,0.36
Mason Morelli,23-24,VGK,L,9,92.1,24,13.78,27.35,-1.11,0.024,0.16,0.06
Mason Shaw,22-23,MIN,C,59,567.67,30,13.48,27.01,-0.89,-0.022,0.04,0.02
Mason Shaw,23-24,MIN,C,20,161.85,24,12.93,26.38,-1.95,-0.029,0.08,0.02
Matej Blumel,22-23,DAL,R,6,56.87,18,14.89,30.03,1.1,0.062,0.14,0.21
Matej Blumel,24-25,DAL,R,7,58.4,20,13.43,27.19,1.77,0.026,0.16,0.13
Mathew Barzal,21-22,NYI,C,73,1084.35,30,14.75,28.99,-1.34,-0.027,0.08,0.07
Mathew Barzal,22-23,NYI,C,58,846.32,31,14.5,28.94,-0.52,-0.014,0.16,0.15
Mathew Barzal,23-24,NYI,C,80,1319.1,24,15.54,30.51,0.74,0.073,0.27,0.24
Mathew Barzal,24-25,NYI,C,30,497.25,28,15.78,30.88,1.38,0.049,0.21,0.23
Mathew Barzal,25-26,NYI,C,38,616.13,23,14.83,29.81,0.2,-0.015,0.12,0.04
Mathieu Joseph,21-22,OTT,R,11,155.18,22,14.67,29.49,-0.17,-0.046,0.08,0.05
Mathieu Joseph,21-22,T.B,R,58,663.15,28,14.68,29.63,0.73,0.055,0.29,0.32
Mathieu Joseph,22-23,OTT,R,56,601.8,30,13.51,28.39,0.6,0.034,0.13,0.12
Mathieu Joseph,23-24,OTT,R,72,990.82,30,15.06,30.58,0.98,0.027,0.18,0.21
Mathieu Joseph,24-25,STL,R,60,645.23,27,14.68,28.43,-0.33,0.007,0.23,0.23
Mathieu Joseph,25-26,STL,R,33,386.73,28,14.66,28.91,-1.45,-0.017,0.04,0.05
Mathieu Olivier,21-22,NSH,R,10,91.67,24,13.79,28.25,1.21,0.023,0.12,0.15
Mathieu Olivier,22-23,CBJ,R,66,720.35,32,14.47,28.72,-2.7,-0.126,-0.08,-0.06
Mathieu Olivier,23-24,CBJ,R,54,575.98,34,14.23,28.23,-0.32,-0.054,0.01,0.08
Mathieu Olivier,24-25,CBJ,R,82,1063.53,31,14.98,29.05,-0.18,-0.014,0.14,0.11
Mathieu Olivier,25-26,CBJ,R,25,316.87,23,15.5,30.32,1.23,0.1,0.33,0.34
Mathieu Perreault,21-22,MTL,C,25,244.18,34,14.26,28.75,-0.95,-0.055,0.03,0.05
Matias MacCelli,21-22,ARI,L,23,293.92,27,14.64,28.98,-2.63,-0.137,-0.04,0.03
Matias MacCelli,22-23,ARI,L,64,845.38,32,13.76,28.16,-1.45,-0.057,0.05,0.06
Matias MacCelli,23-24,ARI,L,82,1125.77,34,14.35,29.07,0.32,0.005,0.21,0.23
Matias MacCelli,24-25,UTA,L,55,666.22,26,14.34,28.51,1.8,0.068,0.15,0.19
Matias MacCelli,25-26,TOR,L,27,321.52,24,15.14,29.94,-1.4,-0.023,0.33,0.22
Mats Zuccarello,21-22,MIN,C/R,70,1017.35,30,15.15,31.06,1.49,0.058,0.47,0.5
Mats Zuccarello,22-23,MIN,R,78,1220.62,31,15.41,30.94,1.6,0.067,0.21,0.28
Mats Zuccarello,23-24,MIN,R,69,987.85,30,15.31,31.35,0.69,0.048,0.29,0.31
Mats Zuccarello,24-25,MIN,R,69,1078.15,28,16.5,32.27,0.02,0.032,0.24,0.27
Mats Zuccarello,25-26,MIN,R,20,280.33,24,15.97,31.72,-0.86,0.023,0.23,0.18
Matt Boldy,21-22,MIN,L,47,594.88,29,14.41,29.53,0.47,0.067,0.41,0.36
Matt Boldy,22-23,MIN,L,81,1129.45,32,14.68,29.41,-0.29,0.006,0.14,0.12
Matt Boldy,23-24,MIN,L,75,1078.22,30,15.39,31.53,0.46,0.063,0.36,0.27
Matt Boldy,24-25,MIN,L,82,1299,30,16.27,31.85,-0.09,0.036,0.24,0.28
Matt Boldy,25-26,MIN,L,40,583.4,28,15.87,31.51,0.51,0.079,0.39,0.34
Matt Coronato,23-24,CGY,R,34,368.63,32,14.43,28.99,0.6,-0.01,0.09,0.23
Matt Coronato,24-25,CGY,R,77,1116.25,34,15.56,30.8,1.24,0.029,0.09,0.09
Matt Coronato,25-26,CGY,R,38,485.08,27,14.89,30.31,0.5,0.018,0.13,0.17
Matt Duchene,21-22,NSH,C,78,1182.73,28,15.33,31.41,0,0.029,0.36,0.27
Matt Duchene,22-23,NSH,C,71,1044.42,33,14.66,29.96,0.23,0.017,0.14,0.13
Matt Duchene,23-24,DAL,C,80,1118.15,23,15.05,29.99,1.27,0.08,0.35,0.37
Matt Duchene,24-25,DAL,C,82,1140.8,28,14.81,30,0.36,0.007,0.29,0.22
Matt Duchene,25-26,DAL,C,14,186.02,23,15.02,30.28,-1.08,0.012,0.33,0.34
