Player,Season,Team,Position,GP,TOI,TM #,TOI/GP,TOI%,RAPM_CA/60,RAPM_xGA/60,GAR/60,xGAR/60
Anthony Beauvillier,21-22,NYI,L,75,1086.52,29,15.15,29.77,-0.94,-0.014,0.14,0.23
Anthony Beauvillier,22-23,NYI,L,49,669.93,28,15.02,29.92,0.41,0.055,0.27,0.3
Anthony Beauvillier,22-23,VAN,L,33,457.77,29,14.73,29.59,0.55,0.056,0.3,0.33
Anthony Beauvillier,23-24,CHI,L,23,299.68,27,14.71,29.51,-3.47,-0.169,-0.2,-0.18
Anthony Beauvillier,23-24,NSH,L,15,168,22,13.98,28.55,1.66,0.104,0.22,0.25
Anthony Beauvillier,23-24,VAN,L,22,270,23,14.13,28.88,1.61,0.077,0.33,0.36
Anthony Beauvillier,24-25,PIT,L,63,779.95,33,15.22,29.99,0.75,0.007,0.14,0.14
Anthony Beauvillier,24-25,WSH,L,18,220.62,21,14.48,28.69,0.75,0.036,0.18,0.23
Anthony Beauvillier,25-26,WSH,L,39,535.2,23,14.58,29.45,0.39,0.051,0.35,0.31
Anthony Cirelli,21-22,T.B,C,76,1088.17,27,15.15,30.61,0.72,0.033,0.28,0.31
Anthony Cirelli,22-23,T.B,C,58,767.87,22,14.64,29.73,1.21,0.036,0.22,0.24
Anthony Cirelli,23-24,T.B,C,79,1126.95,31,14.88,29.89,1.08,0.02,0.19,0.21
Anthony Cirelli,24-25,T.B,C,80,1172.17,27,15.3,30.22,1.53,0.107,0.36,0.36
Anthony Cirelli,25-26,T.B,C,34,437.5,27,14.8,30.67,2.9,0.148,0.45,0.57
Anthony Duclair,21-22,FLA,L,74,895.2,33,15.22,30.78,3.65,0.158,0.38,0.46
Anthony Duclair,22-23,FLA,L,20,263.2,19,14.92,31.21,2.57,0.098,0.31,0.37
Anthony Duclair,23-24,S.J,L,56,770.77,31,15.42,30.63,-2.33,-0.12,-0.01,-0.06
Anthony Duclair,23-24,T.B,L,17,224.85,21,16.07,32.29,1.22,0.016,0.29,0.32
Anthony Duclair,24-25,NYI,L,44,568.52,26,16.06,31.44,1.27,0.04,0.21,0.23
Anthony Duclair,25-26,NYI,L,38,438.3,23,14.3,28.71,-0.44,-0.023,0.04,0
Anthony Mantha,21-22,WSH,R,37,481.03,26,14.85,29.62,-0.25,0.004,0.13,0.15
Anthony Mantha,22-23,WSH,R,67,877.75,32,14.56,29.08,0.31,0.002,0.15,0.14
Anthony Mantha,23-24,VGK,R,18,230.48,24,14.88,29.73,0.74,0.055,0.37,0.33
Anthony Mantha,23-24,WSH,R,56,688.97,29,14.88,29.47,-0.8,-0.004,0.06,0.01
Anthony Mantha,24-25,CGY,R,13,153.83,22,14.8,29.32,0.24,-0.052,0.1,0.01
Anthony Mantha,25-26,PIT,R,37,480.3,32,14.77,29.16,-0.65,0.014,0.18,0.19
Anthony Richard,22-23,MTL,C,13,124.67,28,13.39,27.11,-2.31,-0.094,0.06,0.03
Anthony Richard,23-24,BOS,C,9,95.12,21,14.04,28.18,-0.27,0.072,0.3,0.31
Anthony Richard,24-25,PHI,C,15,161.57,25,14.69,28.62,-0.57,0.074,0.21,0.21
