,season,playerId,Player,positionCode,gamesPlayed,ot_goals,goals_down_by_one,goals_when_tied,ot_goals_per_game,goals_down_by_one_per_game,goals_when_tied_per_game,clutch_score,log,log_adjusted
12,2021-2022,8470621,Corey Perry,R,82,0,5.0,2.0,0.0,0.06097560975609756,0.024390243902439025,3.5975609756097557,1.5255259401837578,15.26
13,2022-2023,8470621,Corey Perry,R,81,0,4.0,1.0,0.0,0.04938271604938271,0.012345679012345678,2.6543209876543212,1.2959102996516216,12.96
14,2023-2024,8470621,Corey Perry,R,54,0,3.0,2.0,0.0,0.05555555555555555,0.037037037037037035,3.7962962962962963,1.5678440151352633,15.68
23,2021-2022,8471214,Alex Ovechkin,L,77,0,8.0,12.0,0.0,0.1038961038961039,0.15584415584415584,10.129870129870131,2.409632496744096,24.1
24,2022-2023,8471214,Alex Ovechkin,L,73,1,2.0,12.0,0.0136986301369863,0.0273972602739726,0.1643835616438356,7.260273972602739,2.1114577555787943,21.11
25,2023-2024,8471214,Alex Ovechkin,L,79,1,2.0,7.0,0.012658227848101266,0.02531645569620253,0.08860759493670886,4.493670886075949,1.7035966816333834,17.04
26,2021-2022,8471215,Evgeni Malkin,C,41,1,3.0,6.0,0.024390243902439025,0.07317073170731707,0.14634146341463414,8.902439024390244,2.292781092897425,22.93
27,2022-2023,8471215,Evgeni Malkin,C,82,0,9.0,9.0,0.0,0.10975609756097561,0.10975609756097561,8.780487804878048,2.2803893606022614,22.8
28,2023-2024,8471215,Evgeni Malkin,C,82,0,6.0,6.0,0.0,0.07317073170731707,0.07317073170731707,5.853658536585366,1.924782602629438,19.25
38,2021-2022,8471675,Sidney Crosby,C,69,1,6.0,7.0,0.014492753623188406,0.08695652173913043,0.10144927536231885,7.753623188405798,2.1694676933375554,21.69
39,2022-2023,8471675,Sidney Crosby,C,82,1,5.0,16.0,0.012195121951219513,0.06097560975609756,0.1951219512195122,9.817073170731707,2.3811257350453263,23.81
40,2023-2024,8471675,Sidney Crosby,C,82,0,6.0,15.0,0.0,0.07317073170731707,0.18292682926829268,9.695121951219512,2.36978774510793,23.7
41,2021-2022,8471685,Anze Kopitar,C,81,0,3.0,7.0,0.0,0.037037037037037035,0.08641975308641975,4.6913580246913575,1.7389488883242097,17.39
42,2022-2023,8471685,Anze Kopitar,C,82,0,6.0,8.0,0.0,0.07317073170731707,0.0975609756097561,6.707317073170732,2.0421701468826043,20.42
43,2023-2024,8471685,Anze Kopitar,C,81,0,4.0,6.0,0.0,0.04938271604938271,0.07407407407407407,4.814814814814815,1.760408939343979,17.6
58,2021-2022,8473419,Brad Marchand,L,70,1,6.0,11.0,0.014285714285714285,0.08571428571428572,0.15714285714285714,9.642857142857144,2.364888976330201,23.65
59,2022-2023,8473419,Brad Marchand,L,73,0,2.0,7.0,0.0,0.0273972602739726,0.0958904109589041,4.58904109589041,1.7208077332557705,17.21
60,2023-2024,8473419,Brad Marchand,L,82,2,6.0,11.0,0.024390243902439025,0.07317073170731707,0.13414634146341464,8.475609756097562,2.2487211031033945,22.49
77,2021-2022,8473512,Claude Giroux,R,75,0,5.0,11.0,0.0,0.06666666666666667,0.14666666666666667,8.133333333333333,2.211930724725915,22.12
78,2022-2023,8473512,Claude Giroux,R,82,1,6.0,12.0,0.012195121951219513,0.07317073170731707,0.14634146341463414,8.658536585365853,2.2678421445501726,22.68
79,2023-2024,8473512,Claude Giroux,R,82,1,2.0,6.0,0.012195121951219513,0.024390243902439025,0.07317073170731707,3.902439024390244,1.589732841354768,15.9
80,2021-2022,8473533,Jordan Staal,C,78,0,3.0,2.0,0.0,0.038461538461538464,0.02564102564102564,2.628205128205128,1.2887380709536458,12.89
81,2022-2023,8473533,Jordan Staal,C,81,0,3.0,4.0,0.0,0.037037037037037035,0.04938271604938271,3.3950617283950617,1.4804815761795918,14.8
82,2023-2024,8473533,Jordan Staal,C,80,0,3.0,4.0,0.0,0.0375,0.05,3.4375000000000004,1.490091154801534,14.9
93,2021-2022,8473986,Alex Killorn,L,82,0,10.0,4.0,0.0,0.12195121951219512,0.04878048780487805,7.1951219512195115,2.1035390932588967,21.04
94,2022-2023,8473986,Alex Killorn,L,82,2,4.0,11.0,0.024390243902439025,0.04878048780487805,0.13414634146341464,7.378048780487806,2.125615044958096,21.26
95,2023-2024,8473986,Alex Killorn,L,63,1,3.0,5.0,0.015873015873015872,0.047619047619047616,0.07936507936507936,5.238095238095237,1.8306748854777284,18.31
96,2021-2022,8473994,Jamie Benn,L,82,2,2.0,7.0,0.024390243902439025,0.024390243902439025,0.08536585365853659,4.573170731707317,1.7179641436299515,17.18
97,2022-2023,8473994,Jamie Benn,L,82,0,9.0,8.0,0.0,0.10975609756097561,0.0975609756097561,8.353658536585366,2.235767554103003,22.36
98,2023-2024,8473994,Jamie Benn,L,82,0,3.0,7.0,0.0,0.036585365853658534,0.08536585365853659,4.634146341463414,1.7288456438174857,17.29
105,2021-2022,8474037,James van Riemsdyk,L,82,0,6.0,8.0,0.0,0.07317073170731707,0.0975609756097561,6.707317073170732,2.0421701468826043,20.42
106,2022-2023,8474037,James van Riemsdyk,L,61,0,4.0,4.0,0.0,0.06557377049180328,0.06557377049180328,5.245901639344262,1.8319255109533896,18.32
107,2023-2024,8474037,James van Riemsdyk,L,71,0,3.0,5.0,0.0,0.04225352112676056,0.07042253521126761,4.366197183098591,1.6801194980853855,16.8
124,2021-2022,8474141,Patrick Kane,R,78,0,5.0,9.0,0.0,0.0641025641025641,0.11538461538461539,6.923076923076923,2.069779630768099,20.7
125,2022-2023,8474141,Patrick Kane,R,73,0,6.0,7.0,0.0,0.0821917808219178,0.0958904109589041,7.054794520547944,2.0862675067502354,20.86
126,2023-2024,8474141,Patrick Kane,R,50,3,5.0,9.0,0.06,0.1,0.18,12.000000000000002,2.5649493574615367,25.65
127,2021-2022,8474149,Evgenii Dadonov,L,78,2,2.0,6.0,0.02564102564102564,0.02564102564102564,0.07692307692307693,4.3589743589743595,1.6787726058351646,16.79
128,2022-2023,8474149,Evgenii Dadonov,L,73,0,1.0,1.0,0.0,0.0136986301369863,0.0136986301369863,1.095890410958904,0.7399784802440443,7.4
129,2023-2024,8474149,Evgenii Dadonov,L,51,0,3.0,4.0,0.0,0.058823529411764705,0.0784313725490196,5.3921568627450975,1.8550717486423818,18.55
130,2021-2022,8474150,Mikael Backlund,C,82,0,1.0,2.0,0.0,0.012195121951219513,0.024390243902439025,1.4024390243902438,0.8764844814737354,8.76
